repetition,question_id,question,correct_answer,has_image,claude_answer_real,claude_response_real,is_correct_real,error_type_real,error_details_real,claude_answer_fake,claude_response_fake,is_correct_fake,error_type_fake,error_details_fake
1,IT0006,L'immagine mostra un tracciato elettrocardiografico corrispondente a:,C,True,A,"IT0006, A
Reasoning: Il tracciato mostra onde R prominenti e depressione dello ST nelle derivazioni precordiali (V1‑V3), quadro tipico di infarto posteriore (immagine ""a specchio"" di STE posteriore). Non è fibrillazione atriale (ci sono onde P regolari prima di ogni QRS) né blocco AV completo (assenza di dissociazione AV). Non si apprezzano STE tipici delle sole pareti anteriore o inferiore.",False,,,B,"IT0006, B
Reasoning: The tracing is most consistent with atrial fibrillation — absence of discrete P waves and an irregularly irregular R-R interval. This differentiates it from myocardial infarction patterns (which show localized ST‑segment elevations or reciprocal depressions in specific leads for anterior, inferior or posterior MI) and from complete (third‑degree) AV block (which shows AV dissociation with regular P‑P and R‑R intervals and usually bradycardia).",False,,
1,IT0007,Il paziente presenterà probabilmente:,C,True,C,"IT0007, C
Reasoning: L'ECG mostra evidente sopra-slivellamento del segmento ST nei precordiali (soprattutto V1–V4/V5) di tipo antero-settale/anteriore con possibili reciproche depressioni nelle derivazioni inferiori. Questo quadro è tipico di un infarto anteriore STEMI dovuto a occlusione della arteria discendente anteriore (LAD). Le altre opzioni (occlusione circonflessa, discendente posteriore, sintomi vagali o pneumotorace) non spiegano il pattern di ST-elevazione anteriore osservato.",True,,,C,"IT0007, C
Reasoning: L’occlusione della arteria discendente anteriore (LAD) è responsabile dell’infarto anteriore caratterizzato da sopraslivellamento del tratto ST nelle derivazioni precordiali (V1–V4) con possibili segni reciproci nelle inferiori. Questa corrispondenza anatomica tra area di ischemia anteriore e territorio irroroato dalla LAD rende l’opzione C la più probabile.",True,,
1,IT0031,"[Paziente uomo di 85 anni, pregresso ictus ischemico, diabetico, in terapia polifarmacologica. Da circa un mese comparsa di placche eritematose orticarioidi diffuse con successiva comparsa di bolle tese a contenuto limpido. Le lesioni sono intensamente pruriginose.] Qual è la diagnosi più probabile?",A,True,A,"IT0031, A
Reasoning: Quadro tipico di pemfigoide bolloso: paziente anziano con lesioni prodromiche pruriginose tipo placche eritematose/orticarioidi seguite da bolle tese a contenuto limpido su base eritematosa. La foto mostra bolle tese (non flaccide) e alcune emorragiche su base eritematosa. Pemfigo volgare dà vescicole/bolle flaccide e spesso interessamento mucoso (Nikolsky positivo). Herpes zoster è doloroso e in sede dermatomale; dermatite da contatto è più localizzata e non tipicamente con bolle tese diffuse; impetigine bollosa è superficiale, più comune in età pediatrica. Inoltre pemfigoide è associato ad età avanzata e a comorbilità/drugs, il che supporta la diagnosi.",True,,,A,"IT0031, A
Reasoning: Quadro tipico del pemfigoide bolloso: paziente anziano, lesioni iniziali a placche eritematose/orticarioidi molto pruriginose che poi evolvono in bolle tese contenuto limpido. Caratteristiche coerenti con bolle subepidermiche (tese) tipiche del pemfigoide bolloso (autoanticorpi anti-emidesmosomi). Differenze con alternative: pemfigo volgare dà bolle flaccide e lesioni mucose con segno di Nikolsky positivo; Herpes zoster è doloroso e in sede dermatomale con vescicole raggruppate; dermatite da contatto è eczematosa, non caratteristicamente con bolle tese diffuse; impetigine bollosa è superficiale, più comune nei bambini e con croste giallastre.",True,,
1,IT0032,"[Paziente uomo di 85 anni, pregresso ictus ischemico, diabetico, in terapia polifarmacologica. Da circa un mese comparsa di placche eritematose orticarioidi diffuse con successiva comparsa di bolle tese a contenuto limpido. Le lesioni sono intensamente pruriginose.] Qual è il procedimento diagnostico più appropriato?",B,True,B,"IT0032, B
Reasoning: Quadro clinico tipico di pemfigoide bolloso (anziano, prurito intenso, iniziale fase con placche eritematose/orticarioidi seguita da bolle tese a contenuto limpido). L’esame diagnostico di scelta è la biopsia cutanea con istologia e immunofluorescenza diretta per dimostrare deposito lineare di IgG/C3 alla giunzione dermo‑epidermica e rilevare autoanticorpi contro la membrana basale (es. BP180/BP230). Le altre opzioni si riferiscono a diagnosi diverse: E = pemfigo (anti‑desmogleine) con bolle flaccide, A = dermatite erpetiforme/celiachia, D/Tzanck o C non sono procedure diagnostiche definitive per questo quadro.",True,,,B,"IT0032, B
Reasoning: Quadro clinico tipico di pemfigoide bolloso: anziano, lesioni iniziali a placche urticariformi molto pruriginose seguite da bolle tese a contenuto limpido (bolle subepidermiche). L'iter diagnostico appropriato è biopsia cutanea per istologia e immunofluorescenza diretta per evidenziare deposizione lineare di IgG/complesso C3 alla membrana basale (anticorpi contro componenti della giunzione dermo-epidermica, es. BP180/BP230). Le altre opzioni si riferiscono a patologie diverse (dermatite erpetiforme, pemfigo con anti-desmogleine, Tzanck per acantolisi, dermatoscopia non indicativa).",True,,
1,IT0053,"[In uno studio caso-controllo per comprendere l'eziologia del cancro dell'esofago, 870 casi e 902 controlli sono stati indagati per quanto concerne il consumo abituale di superalcolici.] L'associazione tra la malattia e il fattore di rischio può essere quantificata calcolando:",C,True,C,"IT0053, C
Reasoning: In uno studio caso-controllo non si possono calcolare rischi o rischi relativi (manca l'incidenza nella popolazione esposta/non esposta), la misura di associazione corretta è l'odds ratio. L'OR si calcola come prodotto incrociato (a·d)/(b·c). Con a=656 (casi esposti), b=516 (controlli esposti), c=214 (casi non esposti), d=386 (controlli non esposti) si ottiene OR = (656·386)/(516·214), corrispondente all'opzione C.",True,,,C,"IT0053, C
Reasoning: In a case-control study the measure of association is the odds ratio (OR). Arrange the 2x2 table as:
- Exposed cases = 656 (a)
- Exposed controls = 516 (b)
- Unexposed cases = 214 (c)
- Unexposed controls = 386 (d",True,,
1,IT0054,"[In uno studio caso-controllo per comprendere l'eziologia del cancro dell'esofago, 870 casi e 902 controlli sono stati indagati per quanto concerne il consumo abituale di superalcolici.] È generalmente indicato tra i vantaggi degli studi caso-controllo:",A,True,A,"IT0054, A
Reasoning: Gli studi caso-controllo selezionano soggetti in base allo stato di malattia (casi vs controlli) e sono perciò particolarmente efficienti per malattie rare, richiedono meno tempo e costi rispetto a studi di coorte. Non permettono di calcolare incidenze né prevalentze (non si osserva una popolazione a rischio nel tempo, quindi B, C, D, E sono errate).",True,,,A,"IT0054, A
Reasoning: Gli studi caso-controllo selezionano soggetti in base allo stato di malattia (casi vs controlli) e sono condotti retrospettivamente; per questo sono tipicamente meno costosi e più rapidi rispetto a studi di coorte. Non consentono di calcolare direttamente l'incidenza (né la prevalenza in modo valido) della malattia, perché la frequenza della malattia nella popolazione non è rappresentata dalla proporzione di casi nello studio. (Per i case-control si calcolano odds ratio per stimare il rischio associato a esposizioni.)",True,,
1,IT0063,"[Uomo, 48 anni, fumatore, iperteso in terapia con ACE inibitore. Lamenta dolore epigastrico da circa 6h. Vengono rilevati i seguenti parametri PA 90/50 mmHg, FC 57/min, satO2 99% e viene eseguito un ECG come mostrato in figura.] Le alterazioni presenti sono compatibili con:",C,True,C,"IT0063, C
Reasoning: L’ECG mostra sopraslivellamento del tratto ST localizzato nei derivazioni inferiori (II, III, aVF) con segni reciproci nelle precordiali anteriori (ST depression in V1‑V3). Il quadro clinico (dolore epigastrico, ipotensione e bradicardia) è compatibile con infarto miocardico acuto inferiore, eventualmente con interessamento ventricolo destro. Non ci sono le diffuse alterazioni tipiche della pericardite né i segni di un pregresso infarto anteriore.",True,,,C,"IT0063, C
Reasoning: Quadro clinico (uomo 48 aa con dolore epigastrico, ipotensione 90/50 mmHg e bradicardia a 57/min) è tipico di un infarto inferiore con possibile interessamento del ventricolo destro o del nodo AV (occlusione dell'arteria coronaria destra), che spesso determina bradicardia e ipotensione. Un STEMI inferiore si manifesta con sopraslivellamento del tratto ST in II, III e aVF (con eventuali reciproci in I/aVL). Le alternative sono meno probabili: la pericardite dà sopraslivellamenti diffusi e depressione del tratto PR; un STEMI anteriore/antero-laterale dà alterazioni soprattutto nei precordiali e tipicamente non si presenta con bradicardia isolata come qui; un infarto anteriore pregresso non spiegherebbe il quadro acuto attuale. Quindi la risposta corretta è STEMI inferiore.",True,,
1,IT0064,"[Uomo, 48 anni, fumatore, iperteso in terapia con ACE inibitore. Lamenta dolore epigastrico da circa 6h. Vengono rilevati i seguenti parametri PA 90/50 mmHg, FC 57/min, satO2 99% e viene eseguito un ECG come mostrato in figura.] Mentre si allerta la sala di emodinamica è opportuno iniziare la somministrazione di:",D,True,D,"IT0064, D
Reasoning: Clinically è un sospetto STEMI (dolore epigastrico da 6 h con ECG compatibile) in paziente ipoteso (PA 90/50) e bradicardico (FC 57). In fase pre-PCI è indicato iniziare terapia antiaggregante (ticagrelor) mentre si allerta la sala di emodinamica. Nitroprussiato e nitrati generali sono controindicati con ipotensione e sospetto infarto inferiore/coinvolgimento ventricolo destro; il diltiazem è controindicato per bradicardia/insufficienza emodinamica; enalapril non va dato in fase acuta con ipotensione; il warfarin non è terapia iniziale per STEMI.",True,,,D,"IT0064, D
Reasoning: Quadro clinico compatibile con infarto miocardico acuto da trattare con invasività (si allerta emodinamica). In fase pre-angioplastica è appropriato somministrare antiaggregante orale rapido come ticagrelor (carico), insieme ad ASA, salvo controindicazioni. Le altre opzioni sono inappropriate: nitroprussiato (vasodilatatore) e enalapril sono controindicati in ipotensione franca (PA 90/50) e possibile coinvolgimento ventricolo destro; diltiazem è negativo inotropo/cronotropo e controindicato in bradicardia/ipotensione; warfarin non è terapia immediata in STEMI.",True,,
1,IT0065,"[Uomo, 48 anni, fumatore, iperteso in terapia con ACE inibitore. Lamenta dolore epigastrico da circa 6h. Vengono rilevati i seguenti parametri PA 90/50 mmHg, FC 57/min, satO2 99% e viene eseguito un ECG come mostrato in figura.] Verosimilmente il paziente avrà una lesione a carico di:",A,True,A,"IT0065, A
Reasoning: L’ECG mostra evidenti ST‑elevazione nei derivazioni inferiori (II, III, aVF) con reciproche depressioni in I/aVL, quadro compatibile con infarto della parete inferiore. Il quadro clinico con ipotensione e bradicardia è tipico di occlusione della coronaria destra (coinvolgimento possibile del ventricolo destro e del nodo AV). Pertanto la lesione più probabile è sulla coronaria destra.",True,,,A,"IT0065, A
Reasoning: Quadro clinico compatibile con infarto inferiore (dolore epigastrico, ipotensione e bradicardia). L'infarto inferiore è tipicamente dovuto a occlusione della coronaria destra (RCA), che può determinare ischemia del nodo AV con bradicardia e coinvolgimento del ventricolo destro con riduzione precarico e ipotensione. Le altre arterie (IVA, circonflessa/ramo margine ottuso, tronco comune) danno invece quadri anteriori/antero-laterali o molto estesi con caratteristiche diverse. Perciò la sede più probabile è la coronaria destra.",True,,
1,IT0095,"[Un ragazzo di 23 anni è vittima di un incidente automobilistico (moto contro auto). All'arrivo dei soccorsi viene riferito il seguente esame obiettivo neurologico: il paziente giace a occhi chiusi, non li apre né allo stimolo verbale né allo stimolo doloroso, eloquio assente, alla stimolazione algica il paziente tende ad allontanare gli arti dalla fonte dello stimolo. Presenta anisocoria per destra > sinistra.] Il paziente viene trasferito presso il Pronto Soccorso dove viene sottoposto a una TC cerebrale. Quale reperto è verosimilmente apprezzabile alla TC?",C,True,C,"IT0095, C
Reasoning: Clinica e TAC sono tipiche di un ematoma epidurale acuto: paziente giovane con rapido deterioramento coscienza, anisocoria ipsilaterale per compressione del III cranico (ernia uncale) e alla TC raccolta iperdensa a forma lenticolare/biconvessa extra-assiale che non attraversa le suture. Ematoma sottodurale ha invece morfologia a falce/crescentica (e quello cronico è ipo/isosodenso), l'intraparenchimale è intra-encefalico e lo subgaleale è extracranico.",True,,,C,"IT0095, C
Reasoning: Quadro clinico post-traumatico con perdita della coscienza e anisocoria unilaterale (pupilla destra più ampia) suggerisce compressione dell III nervo per effetto di erniazione uncal per emorragia extradurale tipica da trauma (lesione dell'arteria meningea media). Alla TC cerebrale ci si aspetta un ematoma epidurale come raccolta iperdensa a lente biconvessa, limitata dalle suture. Ematoma sottodurale cronico è improbabile per età e rapidità; sottodurale acuto dà solitamente immagine a falce/crescentica; subgaleale è extracranico; l'ematoma intraparenchimale è meno caratteristico per questo quadro.",True,,
