repetition,question_id,question,correct_answer,has_image,claude_answer_real,claude_response_real,is_correct_real,claude_answer_fake,claude_response_fake,is_correct_fake,claude_answer,is_correct
1,IT0006,L'immagine mostra un tracciato elettrocardiografico corrispondente a:,C,True,C,"IT0006, C
Reasoning: Il tracciato mostra sopraslivellamento del tratto ST nelle derivazioni precordiali (soprattutto V1–V4) con onde T spesso appuntite/positive — quadro tipico di infarto della parete anteriore. Non è fibrillazione atriale (si riconoscono onde P e ritmo regolare), non c'è dissociazione AV tipica del blocco di 3° grado, e le derivazioni inferiori (II, III, aVF) non mostr",True,B,"IT0006, B
Reasoning: The provided ECG image is",False,,
1,IT0007,Il paziente presenterà probabilmente:,C,True,API_ERROR,API_ERROR,False,API_ERROR,API_ERROR,False,,
1,IT0031,"[Paziente uomo di 85 anni, pregresso ictus ischemico, diabetico, in terapia polifarmacologica. Da circa un mese comparsa di placche eritematose orticarioidi diffuse con successiva comparsa di bolle tese a contenuto limpido. Le lesioni sono intensamente pruriginose.] Qual è la diagnosi più probabile?",A,True,A,"IT0031, A
Reasoning: Quadro clinico tipico per pemfigoide bolloso: paziente anziano, prurito intenso con fase prodromica di placche eritematose/orticarioidi e successiva comparsa di bolle tese a contenuto limpido (subepidermiche). L’età avanzata, la pruriticità, le bolle tese e l’evoluzione temporale sono caratteristici. Pemfigo volgare dà bolle flaccide e fragile erosione mucosa; Herpes zoster è doloroso e",True,A,"IT0031, A
Reasoning: Quadro tipico di pemfigoide bolloso: paziente anziano, lesioni iniziali come placche eritematose/orticarioidi pruriginose seguite da comparsa di bolle tese a contenuto limpido (sottostante immunopatologia subepidermica). Pemfigo volgare dà bolle flaccide e spesso interessamento mucoso; Herpes Zoster è doloroso e dermatomale; dermatite da contatto ha quadro eczematoso/localizzato; impetig",True,,
1,IT0032,"[Paziente uomo di 85 anni, pregresso ictus ischemico, diabetico, in terapia polifarmacologica. Da circa un mese comparsa di placche eritematose orticarioidi diffuse con successiva comparsa di bolle tese a contenuto limpido. Le lesioni sono intensamente pruriginose.] Qual è il procedimento diagnostico più appropriato?",B,True,B,"IT0032, B
Reasoning: Quadro tipico di pemfigoide bolloso (anziano, placche eritemato-orticarioidi pruriginose seguite da bolle tese a contenuto limpido/emoraggico). La diagnosi di certezza si ottiene con biopsia cutanea per istologia e immun",True,B,"IT0032, B
Reasoning: Quadro tipico di pemfigoide bolloso (anziano, placche eritematose urticariformi seguite da bolle tese pruriginose). Diagnosi gold‑standard: biopsia cutanea per istologia (bolla subepidermica) e immunofluorescenza diretta su cute perilesionale che mostra deposito lineare di IgG/C3 alla membrana basale (anticorpi anti‑BP antigens). Le altre opzioni (anti",True,,
1,IT0053,"[In uno studio caso-controllo per comprendere l'eziologia del cancro dell'esofago, 870 casi e 902 controlli sono stati indagati per quanto concerne il consumo abituale di superalcolici.] L'associazione tra la malattia e il fattore di rischio può essere quantificata calcolando:",C,True,C,"IT0053, C
Reasoning: Si tratta di uno studio caso-controllo: l'indicatore corretto è l'odds ratio. Con la tavola data (a = 656 casi esposti, b = 516 controlli esposti, c = 214 casi non esposti, d = 386 controlli non esposti) l'OR si calcola come (a·d)/(b·c) = (656·386)/(516·214), corrispondente all'opzione C. Il RR o la RA non sono appropriati in un caso-controllo perché le frequenze dei casi e dei controlli sono fissate d",True,API_ERROR,API_ERROR,False,,
1,IT0054,"[In uno studio caso-controllo per comprendere l'eziologia del cancro dell'esofago, 870 casi e 902 controlli sono stati indagati per quanto concerne il consumo abituale di superalcolici.] È generalmente indicato tra i vantaggi degli studi caso-controllo:",A,True,A,"IT0054, A
Reasoning: Uno studio caso-controllo seleziona i soggetti in base allo stato di malattia (casi vs controlli) e indaga retrospettivamente l'esposizione; per questo motivo è tipicamente rapido e a basso costo rispetto a studi di coorte. Non permette il calcolo diretto di incidenza (periodale o puntuale) né di prevalenza della malattia, perché la proporzione di malati nel campione non riflette la popolazione di riferimento. (È invece possibile stimare l'odds ratio come misura di associazione.)",True,A,"IT0054, A
Reasoning: Gli studi caso-controllo sono tipicamente retrospettivi, selezionano partecipanti in base alla presenza/assenza della malattia e sono quindi relativamente economici e rapidi da realizzare (vantaggio principale). Non permettono invece di calcolare direttamente incidenze o prevalenze perché la popolazione di studio è definita in base all'esito; forniscono stime dell'associazione tramite odds ratio (che approssima il rischio relativo solo per malattie rare).",True,,
1,IT0063,"[Uomo, 48 anni, fumatore, iperteso in terapia con ACE inibitore. Lamenta dolore epigastrico da circa 6h. Vengono rilevati i seguenti parametri PA 90/50 mmHg, FC 57/min, satO2 99% e viene eseguito un ECG come mostrato in figura.] Le alterazioni presenti sono compatibili con:",C,True,API_ERROR,API_ERROR,False,C,"IT0063, C
Reasoning: Quadro clinico di dolore epigastrico acuto con ipotensione (PA 90/50)",True,,
1,IT0064,"[Uomo, 48 anni, fumatore, iperteso in terapia con ACE inibitore. Lamenta dolore epigastrico da circa 6h. Vengono rilevati i seguenti parametri PA 90/50 mmHg, FC 57/min, satO2 99% e viene eseguito un ECG come mostrato in figura.] Mentre si allerta la sala di emodinamica è opportuno iniziare la somministrazione di:",D,True,API_ERROR,API_ERROR,False,API_ERROR,API_ERROR,False,,
1,IT0065,"[Uomo, 48 anni, fumatore, iperteso in terapia con ACE inibitore. Lamenta dolore epigastrico da circa 6h. Vengono rilevati i seguenti parametri PA 90/50 mmHg, FC 57/min, satO2 99% e viene eseguito un ECG come mostrato in figura.] Verosimilmente il paziente avrà una lesione a carico di:",A,True,API_ERROR,API_ERROR,False,A,"IT0065, A
Reasoning: Quadro clinico compatibile con infarto inferiore (dolore epigastrico, ipotensione e bradicardia) che tipicamente provoca coinvolgimento del nodo AV e del ventricolo destro quando è esteso. L'arteria coronaria destra dà spesso l'apporto al nodo AV e al ventricolo destro; la bradicardia e l'ipotensione sono quindi suggestive di lesione della coronaria destra.",True,,
1,IT0095,"[Un ragazzo di 23 anni è vittima di un incidente automobilistico (moto contro auto). All'arrivo dei soccorsi viene riferito il seguente esame obiettivo neurologico: il paziente giace a occhi chiusi, non li apre né allo stimolo verbale né allo stimolo doloroso, eloquio assente, alla stimolazione algica il paziente tende ad allontanare gli arti dalla fonte dello stimolo. Presenta anisocoria per destra > sinistra.] Il paziente viene trasferito presso il Pronto Soccorso dove viene sottoposto a una TC cerebrale. Quale reperto è verosimilmente apprezzabile alla TC?",C,True,C,"IT0095, C
Reasoning: Quadro clinico tipico di emorragia extradurale (epidurale): trauma cranico, rapido deterioramento dello stato di coscienza con apertura occhi assente e risposte motorie di ritiro, anisocoria ipsilaterale (pupilla destra dilatata) per compressione del III nervo/ernia uncale. La TC mostra una raccolta iperd",True,C,"IT0095, C
Reasoning: quadro clinico compatibile con emorragia extradurale con erniazione uncale — giovane traumatizzato con progressivo perdita di coscienza (oc",True,,
1,IT0111,"[Un uomo di 37 anni si presenta al Pronto Soccorso per intensa sintomatologia algica al livello della spalla destra. Il paziente riferisce caduta accidentale sul palmo della mano con la spalla atteggiata in modica abduzione ed estensione.] Dopo la valutazione dell'esame radiografico, quale diagnosi si sospetta?",B,True,B,"IT0111, B
Reasoning: L'immagine radiografica mostra la testa omerale spostata anteriormente/inferiormente rispetto alla cavità glenoidea (posizione subcoracoidea), tipica della lussazione anteriore gleno-omer",True,B,"IT0111, B
Reasoning: La caduta sul palmo con il braccio in lieve abduzione ed estensione è il meccanismo tipico che provoca una lussazione anteriore gleno-omerale (il capo omerale viene spostato anteriormente e inferiormente rispetto alla glena). La lussazione anteriore è la",True,,
1,IT0130,[Paziente di 45 anni esegue indagine Risonanza Magnetica della colonna lombare per lombalgia da 2 mesi non responsiva ai farmaci antifiammatori.] L'immagine mostra una RM del rachide lombare su quale dei tre piani anatomici?,A,True,A,"IT0130, A
Reasoning: L'immagine mostra viste longitudinali dei corpi vertebrali, dei dis",True,API_ERROR,API_ERROR,False,,
1,IT0131,[Paziente di 45 anni esegue indagine Risonanza Magnetica della colonna lombare per lombalgia da 2 mesi non responsiva ai farmaci antifiammatori.] Nella RM si rileva una probabile metastasi ossea. Quale indagine è la più appropriata per identificare la presenza di metastasi ossee?,A,True,A,"IT0131, A
Reasoning: Per la ricerca estesa di metastasi ossee la scintigrafia ossea (99mTc-MDP) è l’indagine di scelta come screening",True,A,"IT0131, A
Reasoning: Per la ricerca estesa di metastasi ossee la scintigrafia ossea è l’esame di scelta perché fornisce una valutazione whole‑body sensibile per lesioni metastatiche multifocali. La TC del solo rachide o un’indagine selettiva ecografica non esplorano l’intero scheletro; la TC completa con mezzo di contrasto comporta dose elevata e non è altrettanto sensibile per lesioni midollari iniziali; la TC a bassa dose non è",True,,
1,IT0136,[Una donna di 19 anni presenta addominalgia e diarrea postprandiali ed esegue una esofagogastroduodenoscopia nel sospetto di un malassorbimento.] Che cosa si può dedurre dall'immagine?,B,True,B,"IT0136, B
Reasoning: L'immagine endoscopica mostra un pattern a mosaico con appiattimento/scalloping delle pliche intestinali tipico di atrofia della mucosa (villi appiattiti) come si vede nella sospetta enteropatia (es. celiachia). Non si osservano segni di fistole/ascessi, neoplasia polipoide, sanguinamento attivo o un'ulcera focale.",True,B,"IT0136, B
Reasoning: In una giovane con sospetto di malassorbimento la endoscopia del tenue mostra tipicamente un appiattimento/scaloppatura delle pliche e aspetto a mosaico compatibile con atrofia della mucosa (villosa) come nella celiachia. Non ci sono caratteristiche di fistole/ ascessi, né di massa neoformativa, sanguinamento attivo o di un'ulcera evidente, perciò la diagnosi più coerente è atrofia della mucosa.",True,,
1,IT0169,"[Una donna di 45 anni presenta lesioni eritemato-ipercheratosiche non dolenti, di forma nummulare, a livello della regione scapolare. Si associano lesioni ipercheratosiche [01] con chiazza di alopecia cicatriziale [02] a livello del vertice del cuoio capelluto. Le lesioni del tronco, di vecchia data, tendono anch'esse all'atrofia cicatriziale e a lasciare esiti iperpigmentari soprattutto periferici. Tutte le lesioni tendono al peggioramento dopo l'esposizione solare.] Qual è la terapia più indicata per questa paziente?",B,True,B,"IT0169, B
Reasoning: Quadro clinico tipico di lupus cutaneo cronico (discoide): lesioni eritemato-ipercheratosiche nummulari che lasciano atrofia cicatriziale e iperpigmentazione, peggioramento con esposizione solare e alopecia cicatriziale del vertice. Terapia sistemica di prima scelta: antimalarici (idrossiclorochina). Fototerapia nbUVB è controindicata per patologia fotosensibile; le altre opzioni non sono appropriate.",True,B,"IT0169, B
Reasoning: Quadro clinico tipico di lupus cutaneo cronico (lesioni eritemato-ipercheratosiche nummulari con tendenza ad atrofia cicatriziale e iperpigmentazione, alopecia cicatriziale del vertice, fotosensibilità). Terapia sistemica di scelta per il lupus cutaneo è l'idrossiclorochina (con fotoprotezione e trattamenti topici steroidei/antiflogistici come supporto). La fototerapia nbUVB è controindicata in patologie fotoindotte/ fotosensibili; calcipotriolo, penicillina o antimicotici orali non sono appropriati per questo quadro.",True,,
1,IT0198,"[Una donna di 22 anni si sottopone a biopsia intestinale dopo un'iniziale valutazione clinica e laboratoristica. L'esame istologico dimostra appiattimento dei villi, iperplasia delle cripte, incremento dei linfociti intraepiteliali, come illustrato nella figura.] Con quale delle seguenti malattie può essere compatibile il reperto istologico?",C,True,C,"IT0198, C
Reasoning: L'istologia mostra l'appiattimento/villous atrophy, iperplasia critica e aumento dei linfociti intraepiteliali, triade classica della malattia celiaca (sprue celiaca). Le altre opzioni non corrispondono: Whipple ha macrofagi PAS-positivi nella lamina propria; il morbo di Crohn dà infiammazione transmurale e granulomi; la sensibilità al glutine non celiaca di solito non presenta i tipici reperti istologici della celiachia; un tumore neuroendocrino mostra aggregati neoplastici di cellule neuroendocrine, non atrofia villare con iperplasia delle cripte.",True,C,"IT0198, C
Reasoning: Il quadro istologico descritto — appiattimento dei villi, iperplasia delle cripte e incremento dei linfociti intraepiteliali — è tipico della malattia celiaca. Queste alterazioni (spesso con linfociti intraepiteliali >25/100 enterociti) sono caratteristiche della risposta mucosale al glutine. Le altre opzioni non danno questo insieme di reperti (Whipple = macrofagi PAS‑positivi nella lamina propria; Crohn = infiammazione transmurale/ulcerazioni/granulomi; sensibilità al glutine non-celiaca di solito ha mucosa normale; tumore neuroendocrino = proliferazione neoplastica di cellule neuroendocrine).",True,,
